iter	Passed	Remaining
0	1	139
1	1	84
2	2	65
3	2	56
4	2	50
5	2	45
6	3	42
7	3	39
8	3	38
9	4	37
10	4	35
11	4	34
12	4	32
13	5	31
14	5	30
15	5	29
16	5	28
17	6	28
18	6	27
19	6	26
20	6	26
21	7	25
22	7	25
23	7	24
24	7	23
25	8	23
26	8	23
27	8	22
28	9	22
29	9	22
30	9	21
31	9	20
32	10	20
33	10	20
34	10	19
35	10	19
36	11	18
37	11	18
38	11	18
39	11	17
40	12	17
41	12	17
42	12	16
43	12	16
44	13	15
45	13	15
46	13	15
47	13	14
48	13	14
49	14	14
50	14	13
51	14	13
52	14	13
53	15	12
54	15	12
55	15	12
56	16	12
57	16	11
58	16	11
59	16	11
60	17	11
61	17	10
62	17	10
63	18	10
64	18	9
65	18	9
66	18	9
67	19	8
68	19	8
69	19	8
70	19	8
71	19	7
72	20	7
73	20	7
74	20	6
75	20	6
76	21	6
77	21	6
78	21	5
79	21	5
80	22	5
81	22	4
82	22	4
83	22	4
84	23	4
85	23	3
86	23	3
87	23	3
88	24	2
89	24	2
90	24	2
91	24	2
92	25	1
93	25	1
94	25	1
95	25	1
96	26	0
97	26	0
98	26	0
99	26	0
