iter	Logloss
0	0.6916633898
1	0.6902196181
2	0.6888094184
3	0.6874407118
4	0.6860414931
5	0.6846872396
6	0.6833575304
7	0.682089822
8	0.6808637587
9	0.6796184896
10	0.6784099826
11	0.6771923177
12	0.6759924696
13	0.6748448351
14	0.6736886719
15	0.6725832899
16	0.6714412326
17	0.670366645
18	0.6693389757
19	0.6682920573
20	0.6672165799
21	0.6661774523
22	0.665164974
23	0.6641773003
24	0.6632259766
25	0.6622911458
26	0.6613310547
27	0.6603582031
28	0.6593988281
29	0.6585837891
30	0.6576982422
31	0.6568154948
32	0.6559941406
33	0.6551383681
34	0.6543421875
35	0.6535072917
36	0.6527396918
37	0.6520163411
38	0.651169401
39	0.6503473307
40	0.6495710286
41	0.6488064887
42	0.6480977431
43	0.6473506944
44	0.6466355469
45	0.6459223524
46	0.6451931858
47	0.6445314236
48	0.6438507812
49	0.6432447049
