iter	Passed	Remaining
0	164	8080
1	281	6747
2	391	6135
3	499	5738
4	603	5427
5	696	5104
6	786	4834
7	881	4629
8	971	4425
9	1088	4355
10	1191	4223
11	1299	4115
12	1411	4016
13	1517	3902
14	1618	3776
15	1725	3665
16	1824	3541
17	1938	3446
18	2035	3321
19	2124	3186
20	2216	3060
21	2316	2947
22	2406	2825
23	2502	2710
24	2567	2567
25	2622	2420
26	2678	2281
27	2733	2147
28	2787	2018
29	2841	1894
30	2892	1773
31	2948	1658
32	3000	1545
33	3052	1436
34	3107	1331
35	3178	1235
36	3230	1135
37	3289	1038
38	3345	943
39	3414	853
40	3470	761
41	3523	671
42	3581	583
43	3638	496
44	3691	410
45	3744	325
46	3801	242
47	3862	160
48	3914	79
49	3973	0
